concept_id	standard_concept	codeset	codes
A_c60	Asthma	ICD-10-CM	 J45.32, J45.42, J45.52, J45.90, J45.901, J45.902, J45.990, J45.991,J45,J45.22
A_c59	Asthma	ICD-9-CM	 493.02, 493.10, 493.11, 493.12, 493.20, 493.21, 493.22, 493.81, 493.82, 493.90, 493.91, 493.92,493.00,493.01
A_c61	Asthma	SNOMED-CT	 13151001, 195949008, 195967001, 195977004, 195979001, 196013003, 225057002, 233672007, 233678006, 233679003, 233681001, 233683003, 233685005, 233688007, 266361008, 266364000, 281239006, 30352005, 304527002, 31387002, 370218001, 370219009, 370220003, 370221004, 389145006, 405944004, 407674008, 409663006, 423889005, 424199006, 424643009, 425969006, 426656000, 426979002, 427295004, 427354000, 427603009, 427679007, 442025000, 55570000, 56968009, 57546000, 59327009, 59786004, 63088003, 67415000, 85761009, 91340006, 92807009, 93432008,11641008,12428000
A_c440	Asthma Daytime Symptoms	SNOMED-CT	370204008,373899003
A_c141	Asthma Daytime Symptoms Quantified	SNOMED-CT	 370208006,370202007,370203002
A_c441	Asthma Nighttime Symptoms	SNOMED-CT	 170633004, 170634005, 395022009,170631002,170632009
A_c142	Asthma Nighttime Symptoms Quantified	SNOMED-CT	 370205009,170635006,170636007
A_c143	Asthma Symptom Assessment Tool	SNOMED-CT	401011001
A_c8	birthdate	HL7	00110
A_c99	Encounter Office & Outpatient Consult	CPT	 99203, 99204, 99205, 99212, 99213, 99214, 99215, 99241, 99242, 99243, 99244, 99245,99201,99202
A_c130	Measurement enddate		
A_c131	Measurement period		
N_c374	Aminopenicillins	RxNorm	 199693, 199694, 199928, 199997, 239187, 239191, 240984, 246282, 250463, 308177, 308181, 308182, 308183, 308188, 308189, 308191, 308192, 308194, 308206, 308207, 308208, 308209, 308210, 308212, 313797, 313798, 313799, 313800, 313801, 313819, 313850, 346892, 392151, 392152, 403945, 476299, 562255, 562256, 598025, 746669, 756252, 789980, 791939, 791947, 802550, 846994, 852904,105134,105152
N_c376	Beta-Lactamase inhibitors	RxNorm	 562508, 617293, 617295, 617296, 617302, 617304, 617309, 617316, 617322, 617423, 617430, 617975, 617976, 617981, 617989, 617993, 617995, 617996, 645806,562251,562253
N_c8	birthdate	HL7	00110
N_c60	encounter ED	CPT	 99283, 99284, 99285,99281,99282
N_c27	encounter outpatient	CPT	 99203, 99204, 99205, 99211, 99212, 99213, 99214, 99215, 99217, 99218, 99219, 99220, 99241, 99242, 99243, 99244, 99245, 99341, 99342, 99343, 99344, 99345, 99347, 99348, 99349, 99350, 99384, 99385, 99386, 99387, 99394, 99395, 99396, 99397, 99401, 99402, 99403, 99404, 99411, 99412, 99420, 99429, 99455, 99456,99201,99202
N_c159	encounter outpatient	ICD-9-CM	 V70.5, V70.6, V70.8, V70.9,V70.0,V70.3
N_c284	First generation cephalosporins	RxNorm	 197454, 197455, 197456, 242794, 250582, 309046, 309047, 309048, 309049, 309051, 309052, 309053, 309110, 309111, 309112, 309113, 309114, 309115, 309121, 313889, 313920, 313929, 347996, 406696, 476193, 562062, 562641, 637173, 645617, 755615, 755616, 755617, 796301, 854220,105170,105171
N_c285	Folate antagonist	RxNorm	 198332, 198333, 244967, 562707,108449,141843
N_c241	Group A Streptococcus Test	CPT	 87081, 87430, 87650, 87651, 87652, 87880,87070.87071
N_c242	Group A Streptococcus Test	LOINC	 18481-2, 31971-5, 49610-9, 5036-9, 626-2, 6556-5, 6558-1, 6559-9,11268-0,17656-0
N_c243	Group A Streptococcus Test	SNOMED-CT	 122245007, 122303007, 89634005,122121004,122205003
N_c286	Lincomycin derivatives	RxNorm	 197519, 205964, 259233, 284215, 309329, 309332, 309333, 309335, 309336, 309337, 309338, 309339, 309340, 358917, 392275, 477451, 562266, 745483, 797274, 853019, 882548, 885131, 890921, 900391, 900424, 900460,141970,197518
N_c287	Macrolides	RxNorm	 197516, 197517, 197650, 206085, 240741, 251854, 259543, 308459, 308460, 308461, 309321, 309322, 310157, 310160, 310161, 310162, 310165, 346618, 359385, 486912, 486955, 486960, 487129, 577162, 577378, 597193, 597194, 597298, 597455, 686350, 686354, 686355, 686383, 686400, 686405, 686406, 686418, 686447, 750151, 751864, 861416,141962,141963
N_c1	measurement enddate		
N_c2	measurement period		
N_c288	Miscellaneous antibiotics	RxNorm	686383
N_c289	Natural penicillins	RxNorm	 207390, 207391, 312260, 312263, 312266, 312270, 617857, 617881, 623677, 623695, 731538, 731558, 731560, 731564, 731567, 731570, 731572, 731575, 731590, 745047, 745051, 745053, 745276, 745278, 745280, 745282, 745284, 745286, 745292, 745296, 745300, 745302, 745303, 745462, 745464, 745477, 745479, 745483, 745519, 745560, 745561, 745585, 824584, 834040, 834046, 834061, 834102, 834179, 834182, 836306, 863538,105078,204466
N_c290	Penicillinase-resistant penicillins	RxNorm	 309860, 313945, 406366,197595,197596
N_c521	pharyngitis	ICD-10-CM	 J03,J02,J02.0
N_c523	pharyngitis	ICD-9-CM	 463,034.0,462
