standard_concept_id	standard_concept	standard_category	measures
standard_concept_id	standard_concept	standard_category	measures
A_c362		Diagnosis / Condition / Problem	["diagnosis active"]	["0001", "0070", "0083"]
A_c60		Diagnosis / Condition / Problem	["diagnosis active"]	["0001", "0070", "0083"]
A_c59		Diagnosis / Condition / Problem	["diagnosis active"]	["0001", "0047", "0070", "0083"]
A_c61		Diagnosis / Condition / Problem	["diagnosis active"]	["0001", "0070", "0083"]
A_c440		Symptom	["diagnosis active"]	["0001"]
A_c141		Symptom	["symptom assessed"]	["0001"]
A_c441		Symptom	["symptom active"]	["0001"]
A_c142		Symptom	["symptom assessed"]	["0001"]
A_c143		Risk category / assessment	["risk category / assessment"]	["0001"]
A_c8		Individual characteristic	["patient characteristic"]	["0001", "0013", "0028-a", "0028-b", "0041", "0047", "0067", "0070", "0074", "0081", "0083", "0084", "0086", "0088", "0089", "0385", "0387"]
A_c99		Encounter	["encounter"]	["0001", "0047", "0086", "0088", "0089"]
A_c130		Measure timing	["end: 12/31/yyyy 23:59:59 (prompt for year)"]	["0001", "0012", "0013", "0014", "0028-a", "0028-b", "0041", "0047", "0067", "0070", "0074", "0081", "0083", "0084", "0086", "0088", "0089", "0385", "0387", "0389"]
A_c131		Measure timing	["start of timing window"]	["0001", "0012", "0013", "0014", "0028-a", "0028-b", "0041", "0047", "0067", "0070", "0074", "0081", "0083", "0084", "0086", "0088", "0089", "0385", "0387", "0389"]
N_c374		Medication	["medication dispensed", "medication order", "medication active"]	["0002"]
N_c376		Medication	["medication dispensed", "medication order", "medication active"]	["0002"]
N_c8		Individual characteristic	["patient characteristic", "provider characteristic"]	["0002", "0018", "0024", "0027", "0031", "0032", "0033", "0034", "0036", "0038", "0043", "0052", "0055", "0056", "59.0", "0061", "0062", "0064", "0068", "0073", "0075", "0105", "0575"]
N_c524		Encounter	["encounter"]	["0002"]
N_c60		Encounter	["encounter"]	["0002", "0036", "0052", "0055", "0056", "0059", "0061", "0062", "0064", "0105", "0575"]
N_c27		Encounter	["encounter"]	["0002", "0018", "0024", "0027", "0031", "0032", "0033", "0034", "0036", "0038", "0043", "0052", "0055", "0056", "0059", "0061", "0062", "0064", "0068", "0073", "0075", "0575"]
N_c159		Encounter	["encounter"]	["0002", "0018", "0024", "0027", "0031", "0032", "0033", "0034", "0036", "0038", "0043", "0052", "0055", "0056", "0059", "0061", "0062", "0064", "0068", "0073", "0075", "0575"]
N_c284		Medication	["medication dispensed", "medication order", "medication active"]	["0002"]
N_c285		Medication	["medication dispensed", "medication order", "medication active"]	["0002"]
N_c241		Laboratory test	["laboratory test performed"]	["0002"]
N_c415		Laboratory test	["laboratory test performed"]	["0002"]
N_c242		Laboratory test	["laboratory test performed"]	["0002"]
N_c243		Laboratory test	["laboratory test performed"]	["0002"]
N_c286		Medication	["medication dispensed", "medication order", "medication active"]	["0002"]
N_c287		Medication	["medication dispensed", "medication order", "medication active"]	["0002"]
N_c1		Measure timing	["end: 12/31/yyyy 23:59:59 (prompt for year)"]	["0002", "0018", "0024", "0027", "0031", "0032", "0033", "0034", "0036", "0038", "0043", "0052", "0055", "0056", "0059", "0061", "0062", "0064", "0068", "0073", "0075", "0105", "0575"]
N_c2		Measure timing	["start of timing window", "end: 12/31/yyyy 23:59:59 (prompt for year)"]	["0002", "0018", "0024", "0027", "0031", "0032", "0033", "0034", "0036", "0038", "0043", "0052", "0055", "0056", "0059", "0061", "0062", "0064", "0068", "0073", "0075", "0105", "0575"]
N_c288		Medication	["medication dispensed", "medication order", "medication active"]	["0002"]
N_c289		Medication	["medication dispensed", "medication order", "medication active"]	["0002"]
N_c290		Medication	["medication dispensed", "medication order", "medication active"]	["0002"]
N_c411		Diagnosis / Condition / Problem	["diagnosis active"]	["0002"]
N_c521		Diagnosis / Condition / Problem	["diagnosis active"]	["0002"]
N_c523		Diagnosis / Condition / Problem	["diagnosis active"]	["0002"]
N_c522		Diagnosis / Condition / Problem	["diagnosis active"]	["0002"]
N_c412		Medication	["medication dispensed", "medication order", "medication active"]	["0002"]
N_c291		Medication	["medication dispensed", "medication order", "medication active"]	["0002"]
N_c292		Medication	["medication dispensed", "medication order", "medication active"]	["0002"]
N_c293		Medication	["medication dispensed", "medication order", "medication active"]	["0002"]
N_c294		Medication	["medication dispensed", "medication order", "medication active"]	["0002"]
N_c295		Medication	["medication dispensed", "medication order", "medication active"]	["0002"]
A_c394		Diagnosis / Condition / Problem	["diagnosis active"]	["0012", "0014"]
A_c88		Diagnosis / Condition / Problem	["diagnosis active"]	["0012", "0014"]
A_c87		Diagnosis / Condition / Problem	["diagnosis active"]	["0012", "0014"]
A_c442		Diagnosis / Condition / Problem	["diagnosis active"]	["0012", "0014"]
A_c112		Procedure	["procedure performed"]	["0012", "0014"]
A_c393		Procedure	["procedure performed"]	["0012", "0014"]
A_c89		Procedure	["procedure performed"]	["0012", "0014"]
A_c517		Individual characteristic	["patient characteristic"]	["0012", "0014"]
A_c465		Diagnosis / Condition / Problem	["diagnosis active", "diagnosis inactive"]	["0012"]
A_c464		Diagnosis / Condition / Problem	["diagnosis active", "diagnosis inactive"]	["0012"]
A_c463		Diagnosis / Condition / Problem	["diagnosis active", "diagnosis inactive"]	["0012"]
A_c462		Diagnosis / Condition / Problem	["diagnosis active", "diagnosis inactive"]	["0012"]
A_c165		Laboratory test	["laboratory test performed"]	["0012"]
A_c395		Laboratory test	["laboratory test performed"]	["0012"]
A_c166		Laboratory test	["laboratory test performed"]	["0012"]
A_c167		Laboratory test	["laboratory test performed"]	["0012"]
A_c313		Negation Rationale	["laboratory test not done", "medication not done", "procedure not done", "communication not done"]	["0012", "0014", "0041", "0067", "0070", "0074", "0081", "0083", "0084", "0086", "0088", "0089", "0385", "0387"]
A_c311		Negation Rationale	["laboratory test not done", "medication not done", "procedure not done", "communication not done"]	["0012", "0014", "0041", "0047", "0067", "0070", "0074", "0081", "0083", "0084", "0088", "0089", "0385", "0387"]
A_c396		Encounter	["encounter"]	["0012", "0014"]
A_c328		Encounter	["encounter"]	["0012", "0014"]
A_c466		Encounter	["encounter"]	["0012", "0014"]
A_c338		Encounter	["encounter"]	["0012", "0014"]
A_c138		Physical exam	["physical exam finding"]	["0013"]
A_c28		Encounter	["encounter"]	["0013", "0041", "0067", "0070", "0074", "0081", "0083", "0084", "0086", "0088", "0089"]
A_c26		Encounter	["encounter"]	["0013", "0041", "0067", "0070", "0074", "0081", "0083", "0084"]
A_c388		Diagnosis / Condition / Problem	["diagnosis active"]	["0013"]
A_c70		Diagnosis / Condition / Problem	["diagnosis active"]	["0013"]
A_c69		Diagnosis / Condition / Problem	["diagnosis active"]	["0013"]
A_c71		Diagnosis / Condition / Problem	["diagnosis active"]	["0013"]
A_c137		Physical exam	["physical exam finding"]	["0013"]
A_c161		Medication	["medication administered"]	["0014"]
A_c479		Negation Rationale	["medication not done"]	["0014"]
A_c159		Diagnosis / Condition / Problem	["diagnosis active"]	["0014"]
A_c537		Diagnosis / Condition / Problem	["diagnosis active"]	["0014"]
A_c538		Diagnosis / Condition / Problem	["diagnosis active"]	["0014"]
A_c536		Diagnosis / Condition / Problem	["diagnosis active"]	["0014"]
A_c335		Diagnosis / Condition / Problem	["diagnosis active"]	["0014"]
A_c334		Diagnosis / Condition / Problem	["diagnosis active"]	["0014"]
A_c337		Laboratory test	["laboratory test result"]	["0014"]
A_c336		Laboratory test	["laboratory test result"]	["0014"]
A_c310		Negation Rationale	["medication not done"]	["0014", "0041", "0067", "0070", "0074", "0081", "0083", "0084", "0385", "0387"]
N_c153		Physical exam	["physical exam finding"]	["0018", "0061", "0073"]
N_c479		Diagnosis / Condition / Problem	["diagnosis active"]	["0018"]
N_c102		Procedure	["procedure performed"]	["0018"]
